103|AVG_res,104|AVG_res,106|AVG_res,107|AVG_res,103|SIGMA,104|SIGMA,106|SIGMA,107|SIGMA,y
-8.513632857142738,2.054181358208944,-12.55136167006151,-1.7638506876231734,0.9804692843228928,2.493557330396522,6.1236601678728855,7.504470433097423,1
-8.88420082417554,0.7624790524781997,7.604648383561882,-11.542972972973415,1.095099792131947,3.5524918562439054,5.680397250521912,13.45682111411426,1
-10.179863546797376,-6.534635041558421,9.078220909090305,-2.6455399061034073,0.9311847334231372,3.997840795626226,4.8001340672142705,10.422129908279596,1
-6.560004166666888,-2.890712295238076,9.039693442135782,-3.558675078864552,1.2498173997367246,3.2184582469906484,4.529935867777987,8.470837658960606,1
-11.791776190476636,-2.5949144251699803,2.6225072784799295,-3.2999999999997303,0.7957394013096202,3.0928526746003784,4.424708176478911,10.189130978315047,1
-10.221791197184526,-1.247214737642595,7.31999270175436,1.6238255033555338,1.8619479225675168,4.872024577924555,8.305526996504993,14.527667883655088,1
-8.267946112599477,-13.825152883522913,6.938871283421919,-3.240306122448148,1.2724062629958532,3.746759735883877,5.112786450346561,10.22256957948271,1
-9.781181100478191,3.188084133501189,6.876014272075055,-7.623488372092883,0.9472227851950792,3.3230122213851305,2.4206226727621,14.066705285645858,1
-15.19100132013273,-20.61823275444843,5.844703717104949,0.7105454545452388,2.1135554899385043,7.733088336589186,8.177819983668723,13.432836363428923,1
-11.711907307692172,-9.636203267782335,1.212654521072974,-5.497318007663015,1.2655354890064223,2.405128950310943,5.17811152644729,9.3512747223553,1
-10.721507267441662,-3.4460185448917033,3.8224051304347317,-2.796176470587855,1.0642361622275789,2.742478944457772,7.004815515338615,8.049732040775853,1
-7.4462749303618265,-5.977127304733689,4.711886916666685,-1.668548387097075,2.014684020683342,2.246749627010589,3.8023469301431754,12.739636347824554,1
-13.333610792951276,-1.038626441108469,7.570746417582198,2.464551422319686,1.4526966280941207,2.576240414203901,2.762507309637729,9.809864098210046,1
-15.47695412844087,-19.089922675127234,7.689879771689331,-7.019323671497774,2.6237357440204354,5.714137372967189,8.62833972662308,16.552541045841693,1
-11.113032441472793,-3.544332294963971,6.878038366666717,-7.53626373626355,1.193570545036632,3.968455702844709,4.614932752702663,7.967597751534623,1
-12.97032348754465,19.015414274131146,-3.770115460992773,-1.012749003984028,1.1042103219699142,3.5195151718559243,5.28480371991255,35.61567290972792,0
-21.042186189258704,-18.75021371351356,4.455576734694776,-6.047536945813019,1.5706778703086368,4.6315543792774845,2.846288123066835,13.095670054078049,1
-15.798242222222825,-1.32471688679255,0.7067911049718997,3.8138888888889797,1.8243604513753366,8.49330545221736,4.560697785448522,38.07766653437281,0
-9.080555448718545,-26.21837455862084,3.7163372843449443,-7.215957446807804,1.378489259090132,2.7282146799237514,5.808157545299418,9.886796650737145,1
-10.981627297296427,0.47676489684823703,10.332885336927461,-1.6727748691097304,1.9363734567388067,1.777543683974219,2.795755222208062,10.3476773940249,1
-9.190619277107997,-8.190122385851941,10.305467747747226,-2.415312499999799,1.0229176970689549,2.9645928501443035,4.2264708411940575,10.910938253420651,1
-10.39107499999841,-6.730475569321505,-0.9554894459845422,-0.14190981432409283,1.620423427185047,1.8351477484803569,5.693742948653475,9.543040494216571,1
-10.074663727959203,-3.8360828218083936,5.769192939698769,-2.487740384615105,1.203857116804829,4.034547380869373,6.845202028307577,9.745603577971869,1
-9.724848951048328,3.897610201474178,1.863283441859952,-2.0411494252869042,1.2823928884354627,3.960804472089584,3.8650375559434895,9.65778659911857,1
-13.054357451923126,-4.004570035533074,2.641730841346771,-2.45341176470629,5.036894086069919,3.1679976705573933,5.019952409860797,10.31770981071335,1
-8.505754621849288,-13.467134220895339,1.6142000837986625,-2.6002739726026194,2.4233563430300764,4.958502043049113,5.451643006053175,8.48443467727577,1
-9.965189814815174,-2.9413999735973095,7.305855415384483,-3.0341246290799937,1.333773250215304,1.5605784148853532,2.8348180982831748,6.1251670450609454,1
-9.764970283019462,-0.2862236327543847,16.276295152940527,-1.8735023041476782,1.2014244600142052,3.26384580211206,6.523893498095978,10.94744587003004,1
